id;name(название);specialization(специализация);responsibilities(Должностные обязанности);requirements(Требования к соискателю);terms(Условия);notes(Примечания);;;
9306763;Машинист Крана (Крановщик);Крановщик;Требуется крановщик на Урал автокран 25 тн  Требования:профессиональные навыки, наличие опыта работы обязательно, знание техники, бережное отношение к технике, ремонт техники, ответственность, пунктуальность.  Условия: Работа по городу и на обьектах;профессиональные навыки, наличие опыта работы обязательно, знание техники, бережное отношение к технике, ремонт техники, ответственность, пунктуальность.;Работа по городу и на обьектах;;;;
9306764;Маляр;Маляр;"Маляр от 60 000 руб.  Условия Сфера деятельности: Производство, сырьё, с/х График работы: Сменный график (гибкий) Смены: на выбор 2/5 или 2/2 или 5/2 или 7/0 Частота выплат: Дважды в месяц Где предстоит работать: На производстве. Тёплый цех. Душ, раздевалка, комната приёма пищи, курилка, личное парковочное место для авто. Опыт работы:  опыт порошковой покраски на производстве. Что получают работники:  + оформление по ТК РФ;  + стабильность, уверенность в завтрашнем дне;  + гарантированный высокий заработок без ограничений; + доставка транспортом компании на работу и обратно; + иногородним предоставляется жильё в шаговой доступности от производства;  Расположение Липецкая область, Липецк, ул. Ковалёва, 115А р-н Правобережный  ООО Лазер Мастер - 10 лет на рынке металлообработки (http://antlazer.ru)   Производство изделий промышленного назначения. Серийное изготовление товаров для дома, мебель LOFT, продукции для туристических и военных задач.  Требуется маляр порошковой покраски. Оплата труда сдельная, потолка по заработку нет.  Гибкий график работы по желанию  2\5 или 2\2 или 5\2 или 7/0 - все варианты обсуждаемы. Заработная плата строго 2 раза в месяц без задержек.  Работа по трудовому договору, согласно ТК РФ. Требования:  + отсутствие алко и наркозависимости; + способность стоя трудиться в рабочем темпе не менее 8 часов в смену; + готовность контролировать качество собственной работы;  Обязанности: порошковая покраска различных изделий из металла.  Условия:  + Оформление по ТК РФ; + Гибкий график работы; + Возможно обучение с нуля; + Возможность повышать квалификацию; + Стабильная зарплата 2 раза в месяц; + Обеспечение всем необходимым инструментом и спецодеждой; + Обеспечение удобным рабочим местом; + доставка транспортом компании на работу и обратно; + иногородним предоставляется жильё в шаговой доступности от производства;";маляр порошковой покраски;"отсутствие алко и наркозависимости; + способность стоя трудиться в рабочем темпе не менее 8 часов в смену; + готовность контролировать качество собственной работы;  Обязанности: порошковая покраска различных изделий из металла.  Условия:  + Оформление по ТК РФ; + Гибкий график работы; + Возможно обучение с нуля; + Возможность повышать квалификацию; + Стабильная зарплата 2 раза в месяц; + Обеспечение всем необходимым инструментом и спецодеждой; + Обеспечение удобным рабочим местом; + доставка транспортом компании на работу и обратно; + иногородним предоставляется жильё в шаговой доступности от производства;";;;;
9306765;Диспетчер;Диспетчер по выпуску тс на линию;"Требования: В транспортную организацию ООО&quot;УРАЛТЕХРЕСУРС&quot; требуется диспетчер. Опыт более 1-го года в данной сфере, добросовестность, пунктуальность, коммуникабельность, уверенное пользование ПК, знание программы 1С, ответственное отношение к работе. Обязанности: ведение журналов, обработка путевых листов, ведение реестров, подсчет ГСМ.  Условия: Официальное оформление, своевременная заработная плата.  Обращаться: г.Бузулук ул. Техническая 3";Опыт более 1-го года в данной сфере, добросовестность, пунктуальность, коммуникабельность, уверенное пользование ПК, знание программы 1С, ответственное отношение к работе;Официальное оформление, своевременная заработная плата.  Обращаться: г.Бузулук ул. Техническая 3;;;;
9306766;Машинист Крана (Крановщик);Машинист крана автомобильного;Требуется машинист автокрана! Заработная плата от 45000 рублей в месяц. Трудоустройство по ТК РФ.;;машинист автокрана! Заработная плата от 45000 рублей в месяц. Трудоустройство по ТК РФ.;;;;
9306767;Инженер;Инженер-проектировщик (электроснабжение);"Требования: - Уверенное владение Компас Электрик, Компас График; - Знание ЕСКД, Гост; - умение читать, разрабатывать электросхемы и схемы автоматики; - Знание принципов работы ДГУ и систем управления освещением, отоплением, вентиляцией, технологическим оборудованием.  Обязанности: - Разработка проектной документации по электросистемам и оборудованию; - Разработка принципиальных схем (Э3) щитов собственных нужд (ЩСН), схем подключения (Э5), схем расположения электрооборудования в контейнере, компоновочных чертежей электрощитов. - Выбор электрооборудования, подбор материалов; - Конструкторское сопровождение заказа на производстве.  Условия: - пятидневная рабочая неделя с 8.00 до 17.00; - Территориально - 10 мин. пешком от м.Елизаровская - оформление по ТК РФ  При звонке просьба набирать добавочный номер 14"; Уверенное владение Компас Электрик, Компас;"Знание ЕСКД, Гост; - умение читать, разрабатывать электросхемы и схемы автоматики; - Знание принципов работы ДГУ и систем управления освещением, отоплением, вентиляцией, технологическим оборудованием.";;;;
9306769;Маляр;Маляр - монтажник;Описание работодателя: Ремонтно-строительная организация Обязанности: Очистка, покраска  металлоконструкций  и железобетонных конструкций. Требования: Дисциплинированность, исполнительность, желателен опыт работы. Условия: 1.Официальное трудоустройство 2.Своевременная выплата з/п 2 раза в месяц 3.Место для приема пищи. 4.Отсутствуют вынужденные простои. 5.Выдача полноценного комплекта СИЗ 6.Полный социальный пакет. 7.5-дневная рабочая неделя. 8.В сезон действует повышенная расценка с выработки. 9.Вахта по городу..;Дисциплинированность, исполнительность, желателен опыт работы;1.Официальное трудоустройство 2.Своевременная выплата з/п 2 раза в месяц 3.Место для приема пищи. 4.Отсутствуют вынужденные простои. 5.Выдача полноценного комплекта СИЗ 6.Полный социальный пакет. 7.5-дневная рабочая неделя. 8.В сезон действует повышенная расценка с выработки. 9.Вахта по городу.;;;;
9306770;Машинист;Машинист автогрейдера;"В дорожно-строительную компанию требуется машинист автогрейдера.   Обязанности:  - Выполнение работ на объекте cтрoительcтва автoмобильной дорoги; - Пoддepжaние техники в иcпрaвном coстоянии.   Требования:  - Наличиe действующeгo удoстовeрeния тpaктоpиcтa - мaшинистa и кaтeгории дaющей пpaво на упpaвлeнии конкретной cамoходной машиной; - Удостоверение машиниста автогрейдера; - Подтвержденный опыт работы; - Готовность к командировкам, в том числе на территорию Донецкой области.   Условия:  - Оформление по ТК РФ - Стабильная выплата заработной платы (на карту, БЕЛАЯ); - Предоставление специальной одежды; - График работы 6/1; 12/2; 20/10.   Описание работодателя: ООО «ДОРСТРОЙ» основано в 2007 году и в настоящее время успешно работает и развивается, осуществляя свою деятельность в сфере строительства, ремонта, содержания дорог и благоустройства территорий как в г. Ростове-на-Дону и Ростовской области, так и за ее пределами. ООО «Дорстрой» является динамично развивающейся, зарекомендовавшей себя с положительной стороны во взаимоотношениях с контрагентами, умеющей работать организованно, профессионально, сплоченными усилиями сотрудников, и всегда нацеленной на качественный результат, организацией.";" Наличиe действующeгo удoстовeрeния тpaктоpиcтa - мaшинистa и кaтeгории дaющей пpaво на упpaвлeнии конкретной cамoходной машиной; - Удостоверение машиниста автогрейдера; - Подтвержденный опыт работы; - Готовность к командировкам, в том числе на территорию Донецкой области. ";"Оформление по ТК РФ - Стабильная выплата заработной платы (на карту, БЕЛАЯ); - Предоставление специальной одежды; - График работы 6/1; 12/2; 20/10.   Описание работодателя: ООО «ДОРСТРОЙ» основано в 2007 году и в настоящее время успешно работает и развивается, осуществляя свою деятельность в сфере строительства, ремонта, содержания дорог и благоустройства территорий как в г. Ростове-на-Дону и Ростовской области, так и за ее пределами";;;;
9306771;Инженер;Инженер монтажник слаботочных систем;"В молодую развивающуюся инженерную компанию требуется инженер монтажник слаботочных систем с опытом работы не менее 3 лет. Требования: знание ПУЭ, СНИП, ГОСТ; Умение читать проекты. Обязанности: обеспечить беспрерывное производство работ бригад с соблюдением норм и проекта, запуск систем АПС (bolid, Рубеж) АСУД, АСКУЭ, АСКУВТ, приточно-вытяжные установки. Условия:  -официальное трудоустройство,  -выплата 2 раза в месяц,  -6-и дневная рабочая неделя, -заработная плата от 100 000";"знание ПУЭ, СНИП, ГОСТ; Умение читать проекты.";официальное трудоустройство,  -выплата 2 раза в месяц,  -6-и дневная рабочая неделя, -заработная плата от 100 000;;;;
9306772;Монтажник;Монтажник окон пвх, балконов, лоджий;Требования:  - приоритет - опыт работы с балконами, окна - вторично. - Пунктуальность и желание работать  Обязанности:  -  Демонтаж и монтаж пластиковых окон ПВХ и конструкций из легкого алюминия на объектах частной застройки по технологии и согласно листу замера, оформленного менеджером  -  Установка подоконников, отливов, нащельников, доборных профилей и т.п. в соответствии с листом замера  - Уборка мусора в строительные мешки и вынос его на лестничную клетку - Демонстрация выполненных работ - Подписание Акта о выполненных работах  Условия:  - работа со скользящими выходными - официальное трудоустройство - адекватное руководство - ненормированный рабочий день - большие объемы заказов - предоставляемая спецодежда - выплаты два раза в месяц - Монтажный комплект (крепеж, пена, силикон и тп предоставляет фирма);приоритет - опыт работы с балконами, окна - вторично. - Пунктуальность и желание работать;работа со скользящими выходными - официальное трудоустройство - адекватное руководство - ненормированный рабочий день - большие объемы заказов - предоставляемая спецодежда - выплаты два раза в месяц - Монтажный комплект (крепеж, пена, силикон и тп предоставляет фирма);;;;
9306773;Монтажник;Монтажники Балконов Отделочники;Требуются монтажные бригады с опытом работы: -Остекление балконов -Отделка балконов   •Оплата сразу в день окончания работ •Материал на объекте, поднимать не нужно •Работа только по частным объектам, не корпоративы;Оплата сразу в день окончания работ •Материал на объекте, поднимать не нужно •Работа только по частным объектам, не корпоративы;;;;;
9306774;Плотник;Плотники отделочники;Описание работодателя:требуются плотники отделочники на постоянную работу,в летний и зимний сезон,возможно официальное трудоустройство.при наличии автомобиля компенсация ГСМ. Требования:опыт в работе обязательно и без нарушения трудовой дисциплины. Обязанности:произведение строительных и отделочных работ. Условия:рабочий график с 9 до 18 выходные по желанию;опыт в работе обязательно и без нарушения трудовой дисциплины. Обязанности:произведение строительных и отделочных работ.;рабочий график с 9 до 18 выходные по желанию;;;;
9306775;Маляр;Авто маляр подготовщик;Первый кузовной/компания предоставляющая услуги кузовного ремонта и предпродажной подготовки. Более 5-ех лет на рынке услуг.  Требования: опыт работы с иномарками от 3-ех лет. Знание технологии и оборудования. Оплата труда сдельная. Обязанности:подготовка к покраске и покраска деталей автомобилей. Учёт лкм.  Подготовка детали от 1800₽ Окраска детали от 800₽ Полный спектр оборудования для быстрой и легкой работы. Окрасочная камера. Отличные условия труда. Полный сервис работы. Никаких ржавых вёдер. Тёплое , светлое помещение. Дружный коллектив. Уровень зарплаты указан не эфемерный , а вполне реальный. Приходи и зарабатывай. Работай с профессионалами. Недостаточно опыта - научим.;опыт работы с иномарками от 3-ех лет. Знание технологии и оборудования.;Оплата труда сдельная. Обязанности:подготовка к покраске и покраска деталей автомобилей. Учёт лкм.  Подготовка детали от 1800₽ Окраска детали от 800₽ Полный спектр оборудования для быстрой и легкой работы. Окрасочная камера. Отличные условия труда. Полный сервис работы. Никаких ржавых вёдер. Тёплое , светлое помещение. Дружный коллектив. Уровень зарплаты указан не эфемерный , а вполне реальный. Приходи и зарабатывай. Работай с профессионалами. Недостаточно опыта - научим.;;;;
9306776;Плотник;Плотник;"Описание работодателя: Железобетонный завод  Требования: Опыт работы, ответственность, исполнительность.  Обязанности: Изготовление опалубки для железобетонных изделий. Работа на станках: широкоформатный обрезной &quot;Рейсмус&quot;, &quot;Фугана&quot;, циркулярная пила  Условия: - Белая заработная плата, полные отчисления в пенсионный фонд; - Бесплатная доставка до места работы и обратно; - Cтоловая на территории завода. График 5/2,Соц. пакет. Заработная плата сдельная и определяется количеством отработанных дней/часов.";Опыт работы, ответственность, исполнительность.;"Белая заработная плата, полные отчисления в пенсионный фонд; - Бесплатная доставка до места работы и обратно; - Cтоловая на территории завода. График 5/2,Соц. пакет. Заработная плата сдельная и определяется количеством отработанных дней/часов.";;;;
9306777;Плотник;Помощник плотника;Требуется помощник плотника. Опыт работы и умение работать с инструментом желательно. Ответственность, добросовестность, желание работать и зарабатывать. 2000руб - на испытательный срок. Условия работы: по городу и области. Возможны не длительные командировки.;Опыт работы и умение работать с инструментом желательно;Ответственность, добросовестность, желание работать и зарабатывать. 2000руб - на испытательный срок. Условия работы: по городу и области. Возможны не длительные командировки.;;;;
9306778;Монтажник;Сборщик изделий из металла, монтажник;Описание работодателя:Индивидуальный предприниматель Требования:Исполнительность, коммуникабельность, ответственность. Обязанности:Качество- это делать хорошо даже когда никто не видит. Условия: Своевременная оплата, душевая, официальное трудоустройство.;Исполнительность, коммуникабельность, ответственность;Своевременная оплата, душевая, официальное трудоустройство.;;;;
9306779;Монтажник;Монтажник (наружная реклама);Описание работодателя: Рекламная компания Орбис Требования: Порядочность, аккуратность, ответственность Обязанности : - Изготовление конструкций наружной и интерьерной рекламы, pos-материалов (световые и не световые объемные буквы, световые короба, фризы из композитного материала, стенды, промо-стойки, работа с пластиками и пр.), послепечатная обработка (накатка пленки, проварка/проклейка баннеров, установка люверсов и пр.). - Выезды на монтажи - Приветствуется знание сварки металла и наличие водительского удостоверения категории В. Условия: - Подготовленное рабочее место в цеху - 5 дней в неделю;Порядочность, аккуратность, ответственность;Подготовленное рабочее место в цеху - 5 дней в неделю;;;;
9306780;Инженер;Инженер по качеству (контролер отк);"Должностные обязанности:  — Контроль качества продукции согласно действующей на предприятии; документации всеми видами средств измерения; — Оформление электронных документов на выпускаемые изделия в системе 1С:8; — Работа надзорным органами  Требования:  — Высшее/среднее техническое образование — Чтение чертежей, умение пользоваться средствами измерениями — Опыт работы на машиностроительном предприятии - приветствуется — Уверенный пользователь ПК — Готовность работать в сменном режиме (2 смены по 8 часов)  Условия:  — Официальное трудоустройство с 1 дня работы — График 5\2 (сб., вс. выходные) — Своевременная заработная плата (выплачивается 2 раза в месяц)  Дополнительно:  — На предприятии работает Профсоюз и социальные программы — Бесплатные занятия в спорткомплексе и на уличных тренажерах на территории предприятия — Столовая и всегда свежая выпечка, комнаты для приема пищи — Полное обеспечение средствами индивидуальной защиты и спецодеждой — Туристические поездки для сотрудников и их семей, корпоративные праздники  АО &quot;ПТПА&quot; включено в сводный реестр предприятий ОПК.  Позвоните в отдел кадров, назначим собеседование, ответим на все интересующие вопросы";Высшее/среднее техническое образование — Чтение чертежей, умение пользоваться средствами измерениями — Опыт работы на машиностроительном предприятии - приветствуется — Уверенный пользователь ПК; Официальное трудоустройство с 1 дня работы — График 5\2 (сб., вс. выходные) — Своевременная заработная плата (выплачивается 2 раза в месяц)  Дополнительно:  — На предприятии работает Профсоюз и социальные программы — Бесплатные занятия в спорткомплексе и на уличных тренажерах на территории предприятия — Столовая и всегда свежая выпечка, комнаты для приема пищи — Полное обеспечение средствами индивидуальной защиты и спецодеждой — Туристические поездки для сотрудников и их семей, корпоративные праздники;;;;
9306781;Электрогазосварщик;Электрогазосварщик;Описание работодателя: Сварка металлоконструкций, изготовление лестниц, ограждений лестничных, входные группы, беседки, навесы, периметральные ограждения, индивидуальные заказы. Умение сваривать аргоном приветствуется. Требования: слесарные навыки Обязанности: сварка, обработка. Условия: рассмотрим кандидатов без опыта.;слесарные навыки Обязанности: сварка, обработка;рассмотрим кандидатов без опыта.;;;;
9306782;Слесарь-Ремонтник;Слесарь по ремонту автомобилей;" Обязанности:  · выполнять работы по установке, регулированию и замене запасных частей, агрегатов и оборудования, согласно оформленного заказ-наряда;  · выполнять процедуры ТО автомобилей, согласно технологических карт большого и малого ТО;  · ремонт ходовой части авто при необходимости;  · ремонт двигателей, ГБЦ.  Требования:  · знание технических характеристик автомобилей;  · знание технологии и способы проведения ТО;  · устройство и правило сборки узлов, агрегатов и приборов средней сложности;  · приветствуется знание гидравлики, рулевых реек, стартеров, генераторов;  · опыт работы слесарем по ремонту автомобилей обязательно.  Условия:  — Оформление согласно ТК РФ; — работа в стабильной компании; — своевременная зарплата (2 раза в месяц); — ежегодный отпуск 52 календарных дня; — больничный оплачивается; — график работы сменный 5/2; — дружный коллектив; — чистый, отапливаемый цех, оснащенный инструментами; — возможность карьерного роста.";"знание технических характеристик автомобилей;  · знание технологии и способы проведения ТО;  · устройство и правило сборки узлов, агрегатов и приборов средней сложности;  · приветствуется знание гидравлики, рулевых реек, стартеров, генераторов;  · опыт работы слесарем по ремонту автомобилей обязательно";"Оформление согласно ТК РФ; — работа в стабильной компании; — своевременная зарплата (2 раза в месяц); — ежегодный отпуск 52 календарных дня; — больничный оплачивается; — график работы сменный 5/2; — дружный коллектив; — чистый, отапливаемый цех, оснащенный инструментами; — возможность карьерного роста.";;;;
9306783;Машинист Крана (Крановщик);Водитель кран манипулятор;Приглашаем водителей работать на кран манипулятор  Мытищи Королёв Пушкино СВАО  Требования: - водитель должен иметь опыт, быть трудолюбивым, не вредным - водитель должен ухаживать за машиной, бережно к ней относиться, не ломать - вежливое общение по телефону с клиентами - должен следить за чистотой и техническим порядком, состоянием автомобиля - водительское удостоверение в категории ВС, гражданство РФ  Условия: - график работы ненормированный - выходные/отдыхи по договоренности с руководителем  Зарплата: От 100000(зарплату выдают каждую неделю);водитель должен иметь опыт, быть трудолюбивым, не вредным - водитель должен ухаживать за машиной, бережно к ней относиться, не ломать - вежливое общение по телефону с клиентами - должен следить за чистотой и техническим порядком, состоянием автомобиля - водительское удостоверение в категории ВС, гражданство РФ ;график работы ненормированный - выходные/отдыхи по договоренности с руководителем  Зарплата: От 100000(зарплату выдают каждую неделю);;;;
9306784;Слесарь-Ремонтник;Слесарь по ремонту грузовых автомобилей;"В крупную транспортную компанию требуется слесарь по ремонту грузовых автомобилей и спецтехники. Опыт работы желателен, возможно обучение.  Обязанности: Техническое обслуживание и ремонт грузовых автомобилей; тракторов; спецтехники. Знание технического устройства обслуживаемой техники.  График работы 2 через 2. Новый тёплый бокс, раздевалка, душ. Транспортная доступность. Новый инструмент, спецодежда. Официальное трудоустройство, оплачиваемый отпуск. Зарплата от 60000 р.";Опыт работы желателен, возможно обучение;;В крупную транспортную компанию требуется слесарь по ремонту грузовых автомобилей и спецтехники;;;
9306785;Монтажник;Монтажник металлических дверей;"Открыта вакансия на должность монтажника металлических дверей. Основной вид работ на объектах - монтаж металлических  технических и противопожарных дверей.   Обязанности: - монтаж дверей; - установка фурнитуры; - монтаж доводчиков.  Требования: - умение работать с большим объемом работ; - ответственность, исполнительность, нацеленность на результат; - профессиональный подход к работе; - выполнение установленного графика производства работ.   Условия: - место работы - новостройки по СПб; - з/п - от 70000,00";"умение работать с большим объемом работ; - ответственность, исполнительность, нацеленность на результат; - профессиональный подход к работе; - выполнение установленного графика производства работ";"место работы - новостройки по СПб; - з/п - от 70000,00";Открыта вакансия на должность монтажника металлических дверей. Основной вид работ на объектах - монтаж металлических  технических и противопожарных дверей;;;
9306786;Маляр;Маляр;Описание работодателя: производство металлокорпусов Требования: ответственность, коммуникабельность Обязанности:работа по окраске металлоизделий порошковой краской Условия:производственное помещение, оформление по ТК РФ, график работы сменный;ответственность, коммуникабельность Обязанности:работа по окраске металлоизделий порошковой краской;производственное помещение, оформление по ТК РФ, график работы сменный;;;;
9306787;Машинист;Машинист тетрадной линии;Требуется сотрудник для работы на полиграфическом оборудовании - на тетрадной линии. Опыт работы значения не имеет - мы обучаем всему. Обязательно наличие технического образования. График работы 2/2 по 12 часов. Доставка транспортом предприятия.  Официальное трудоустройство по ТК РФ. Полный соц. пакет.;Опыт работы значения не имеет - мы обучаем всему;График работы 2/2 по 12 часов. Доставка транспортом предприятия.  Официальное трудоустройство по ТК РФ. Полный соц. пакет.;;;;
9306788;Маляр;Помошник маляра;Описание работодателя:На малярный участок требуется помошник маляра/шкуровщик. Требования: физически развитый  человек Обязанности:Подготовка деталей из массива и МДФ к покраске Условия:  ОБЯЗАТЕЛЕН ОПЫТ РАБОТЫ НА СТОЛЯРНОМ ПРОИЗВОДСТВЕ . Премии по результатам работы.Звонить с 9:00 до 18:00 Пн - Пт.Все дополнительные условия  по телефону.; физически развитый  человек;ОБЯЗАТЕЛЕН ОПЫТ РАБОТЫ НА СТОЛЯРНОМ ПРОИЗВОДСТВЕ . Премии по результатам работы.Звонить с 9:00 до 18:00 Пн - Пт.Все дополнительные условия  по телефону.;;;;
9306789;Монтажник;Монтажник металлоконструкций, автоматических ворот; В компанию Ворота НК требуются монтажники.  Обязанности:  - Сварочные работы.  - Монтаж металлоконструкций: навесы, ворота, ограждения.   - Монтаж автоматических ворот: секционных, рулонных, откатных, распашных.   - Монтаж автоматики на распашные ворота.   - Ремонт промышленных ворот, настройка автоматики.   Разъездная работа в бригаде из 2-х человек на служебном авто.  Мы предлагаем  - Обучение,  - Высокий уровень заработной платы 40.000-80.000 руб.,  - График работы 5/2 с 8 до 17:00,  - Служебная машина.  Желательно с опытом работы  Наличие прав категории В  Ищем человека который имеет желание развиваться  Возможность работать по совместительству  Звоните, оставляйте заявку на собеседование.  Испытательный срок. ;;Обучение,  - Высокий уровень заработной платы 40.000-80.000 руб.,  - График работы 5/2 с 8 до 17:00,  - Служебная машина.  Желательно с опытом работы  Наличие прав категории В  Ищем человека который имеет желание развиваться  Возможность работать по совместительству  Звоните, оставляйте заявку на собеседование.  Испытательный срок. ;;;;
9306790;Маляр;Маляр;"Завод по производству сеток и арматурных строительных конструкций ООО &quot;МЕТКОМ&quot; приглашает соискателей на открытую вакансию - МАЛЯР.  Обязанности: подготовка изделий к покраске, покраска металлических изделий (окраска краскопультом)  Требования: - наличие опыта работы маляром по металлу -аккуратность, исполнительность.  Условия работы: -официальное трудоустройство -своевременная выплата заработной платы 2 раза в месяц -обучение -график работы 4/2 (только день) с 8.00 до 17.00 час. -выдача спец. одежды -доплата на транспорт/компенсация проезда - Место работы: г. Краснодар, пос. Индустриальный, территория Перспективная, 44";наличие опыта работы маляром по металлу -аккуратность, исполнительность.;официальное трудоустройство -своевременная выплата заработной платы 2 раза в месяц -обучение -график работы 4/2 (только день) с 8.00 до 17.00 час. -выдача спец. одежды -доплата на транспорт/компенсация проезда - Место работы: г. Краснодар, пос. Индустриальный, территория Перспективная, 44;;;;
